Unnamed: 0,atletas.foto,atletas.clube.id.full.name,atletas.variacao_num,atletas.rodada_id,atletas.entrou_em_campo,atletas.pontos_num,atletas.slug,atletas.apelido_abreviado,atletas.posicao_id,atletas.nome,atletas.apelido,atletas.atleta_id,atletas.clube_id,atletas.status_id,atletas.preco_num,atletas.media_num,atletas.jogos_num,DE,GS,A,CA,DS,FC,FD,FF,FS,FT,G,I,PS,SG,V,CV,DP,PP,PC,GC,posicao_nome,ranking_rodada,percentil_pontuacao,classificacao_desempenho,destaque_rodada
688,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,CAM,0.0,28,False,0.0,vitao,Vitão,3,Vitor Fernandes Chaves Teixeira,Vitão,141131,282,6,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Zagueiro,0,0.0,Não Jogou,False
689,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,CAM,0.0,28,False,0.0,ze-phelipe,Z. Phelipe,4,José Phelipe dos Santos Dutra,Zé Phelipe,141138,282,6,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
690,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,CAM,0.0,28,False,0.0,mateus-iseppe,M. Iseppe,4,Mateus José Iseppe,Mateus Iseppe,141139,282,6,2.53,2.0,1,,,,,1.0,,,,1.0,,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
691,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,SPT,0.0,28,False,0.0,davi,Davi,1,Davi Medeiros Serrano Lira,Davi,141145,292,6,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Goleiro,0,0.0,Não Jogou,False
692,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,SPT,0.0,28,False,0.0,rafinha,Rafinha,3,Rafael Lima da Silva,Rafinha,141150,292,6,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Zagueiro,0,0.0,Não Jogou,False
693,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,SPT,0.0,28,False,0.0,felipinho,Felipinho,2,Felipe Gabriel dos Santos Silva,Felipinho,141151,292,6,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Lateral,0,0.0,Não Jogou,False
694,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,SPT,0.0,28,False,0.0,riquelme,Riquelme,3,Riquelme Felipe da Silva de Oliveira,Riquelme,141153,292,6,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Zagueiro,0,0.0,Não Jogou,False
695,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,SPT,0.0,28,False,0.0,felype-gabriel,F. Gabriel,3,Felype Gabriel Alencar Carvalho,Felype Gabriel,141154,292,6,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Zagueiro,0,0.0,Não Jogou,False
696,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,SPT,0.0,28,False,0.0,adriel,Adriel,4,Adriel Gomes do Nascimento,Adriel,141156,292,6,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
697,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,SPT,0.0,28,False,0.0,breno,Breno,4,Breno José da Silva Santos,Breno,141158,292,6,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
698,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,SPT,-0.1,28,True,1.9,ze-lucas,Z. Lucas,4,José Lucas Gomes da Silva,Zé Lucas,141160,292,7,5.1,2.85,22,,,,4.0,35.0,29.0,4.0,8.0,24.0,,,2.0,,,,,,,,,Meia,185,44.96,Regular,False
699,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,SPT,0.0,28,False,0.0,gago,Gago,4,Luiz Henrique Duarte Batista,Gago,141161,292,6,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
700,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,SPT,0.0,28,False,0.0,jefinho,Jefinho,4,Jefferson Borges do Nascimento,Jefinho,141162,292,6,1.99,2.8,1,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
701,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,FOR,0.0,28,False,0.0,kayke-queiroz,K. Queiroz,5,Kayke Gouvêa Queiroz,Kayke Queiroz,141401,356,6,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Atacante,0,0.0,Não Jogou,False
702,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,VAS,0.0,28,False,0.0,avellar,Avellar,2,Riquelme Avellar da Silva Fortes,Avellar,141405,267,6,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Lateral,0,0.0,Não Jogou,False
703,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,BAH,0.0,28,False,0.0,fredi-lippert,F. Lippert,3,Frederico Lippert Neto Gomes,Fredi Lippert,141419,265,6,1.5,1.7,1,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,Zagueiro,0,0.0,Não Jogou,False
704,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,0.0,28,False,0.0,gustavo-cintra,G. Cintra,3,Gustavo Cintra Rocha,Gustavo Cintra,141433,266,6,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Zagueiro,0,0.0,Não Jogou,False
705,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,PAL,1.46,28,True,13.8,allan,Allan,4,Allan Andrade Elias,Allan,141451,275,6,6.4,3.27,18,,,2.0,,21.0,6.0,4.0,6.0,9.0,,1.0,,,,,1.0,,,,,Meia,7,98.22,Muito Bom,True
706,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,SPT,0.0,28,False,0.0,atencio,Atencio,4,Rodrigo Uriel Atencio,Atencio,141453,292,6,3.05,0.8,15,,,,1.0,1.0,4.0,2.0,6.0,5.0,1.0,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
707,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,INT,0.0,28,False,0.0,bernardo-jacob,B. Jacob,4,Bernardo Jacob Ferreira,Bernardo Jacob,141465,285,6,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
708,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,INT,0.0,28,False,0.0,pablo,Pablo,2,Pablo Pereira da Costa,Pablo,141467,285,6,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Lateral,0,0.0,Não Jogou,False
709,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,FOR,0.0,28,False,0.0,lucca-prior,L. Prior,4,Lucca Prior Pimenta,Lucca Prior,141526,356,6,3.93,3.41,11,,,,1.0,10.0,12.0,2.0,3.0,13.0,,2.0,2.0,,,,,,,,,Meia,0,0.0,Não Jogou,False
710,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,CAM,0.0,28,False,0.0,indio,Índio,4,Hendel dos Santos Nascimento,Índio,141551,282,6,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
711,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,GRE,0.0,28,False,0.0,gabriel-mec,G. Mec,5,Gabriel Ferreira de Carvalho,Gabriel Mec,141595,284,6,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Atacante,0,0.0,Não Jogou,False
712,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,SAO,0.0,28,False,0.0,lucca,Lucca,5,Lucca Marques Alencar,Lucca,141609,276,6,1.08,0.68,4,,,,,1.0,4.0,,,5.0,,,1.0,,,,,,,,,Atacante,0,0.0,Não Jogou,False
713,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,SAO,0.0,28,False,0.0,joao-pedro,J. Pedro,1,João Pedro Pantiga Gomes,João Pedro,141610,276,6,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Goleiro,0,0.0,Não Jogou,False
714,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,SAO,0.0,28,False,0.0,maik,Maik,2,Maik Gomes Viegas,Maik,141611,276,6,6.35,9.1,2,,,,2.0,5.0,7.0,,1.0,2.0,,1.0,,,1.0,,,,,,,Lateral,0,0.0,Não Jogou,False
715,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,SAO,0.0,28,False,0.0,paulinho,Paulinho,5,Paulo Sérgio Venuto Bezerra,Paulinho,141614,276,6,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Atacante,0,0.0,Não Jogou,False
716,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,SAO,0.0,28,False,0.0,pedro-ferreira,P. Ferreira,4,Pedro Henrique Ferreira da Silva,Pedro Ferreira,141615,276,6,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
