Unnamed: 0,atletas.rodada_id,atletas.foto,atletas.status_id,atletas.pontos_num,atletas.variacao_num,atletas.media_num,atletas.slug,atletas.apelido,atletas.atleta_id,atletas.nome,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.apelido_abreviado,posicao_nome,ranking_rodada,percentil_pontuacao,classificacao_desempenho,destaque_rodada
238,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,5,0,0,0,pedro,Pedro,94583,Pedro Guilherme Abreu dos Santos,FLA,False,0,262,5,19,,Pedro,Atacante,0,0.0,Não Jogou,False
239,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,7,0,0,0,juninho-capixaba,Juninho Capixaba,94968,Luis Antônio da Rocha Júnior,RBB,False,0,280,2,5,,J. Capixaba,Lateral,0,0.0,Não Jogou,False
240,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,6,0,0,0,nicolas,Nicolas,95127,Nicolas Vecchiato da Silva - Vichiatto / Vechiatto,CEA,False,0,354,2,4,,Nicolas,Lateral,0,0.0,Não Jogou,False
241,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,6,0,0,0,gabriel-taliari,Gabriel Taliari,95131,Gabriel Pereira Taliari,JUV,False,0,286,5,4,,G. Taliari,Atacante,0,0.0,Não Jogou,False
242,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,6,0,0,0,bruno-xavier,Bruno Xavier,95288,Bruno César Xavier Sislo,VIT,False,0,287,4,4,,B. Xavier,Meia,0,0.0,Não Jogou,False
243,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,7,0,0,0,rivera,Rivera,95357,Christian Hernando Rivera Cuéllar,SPT,False,0,292,4,4,,Rivera,Meia,0,0.0,Não Jogou,False
244,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,7,0,0,0,gregore,Gregore,95464,Gregore de Magalhães da Silva,BOT,False,0,263,4,8,,Gregore,Meia,0,0.0,Não Jogou,False
245,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,6,0,0,0,igor-vinicius,Igor Vinícius,95466,Igor Vinícius de Souza,SAO,False,0,276,2,7,,I. Vinícius,Lateral,0,0.0,Não Jogou,False
246,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,7,0,0,0,raniele,Raniele,95556,Raniele Almeida Melo,COR,False,0,264,4,6,,Raniele,Meia,0,0.0,Não Jogou,False
247,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,7,0,0,0,artur,Artur,95799,Artur Victor Guimarães,BOT,False,0,263,5,11,,Artur,Atacante,0,0.0,Não Jogou,False
