Unnamed: 0,atletas.pontos_num,atletas.clube_id,atletas.posicao_id,atletas.media_num,atletas.entrou_em_campo,atletas.atleta_id,atletas.preco_num,atletas.foto,atletas.apelido_abreviado,atletas.status_id,atletas.slug,atletas.rodada_id,atletas.clube.id.full.name,atletas.variacao_num,atletas.nome,atletas.jogos_num,atletas.apelido,CA,DS,FC,FF,FS,G,I,A,FD,PS,FT,SG,V,CV,DE,DP,GS,PC,PP,GC,posicao_nome,ranking_rodada,percentil_pontuacao,classificacao_desempenho,destaque_rodada
115,0.0,292,3,3.69,False,83048,6.09,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,R. Thyere,6,rafael-thyere,22,SPT,0.0,Rafael Thyere de Albuquerque Marques,8,Rafael Thyere,,9.0,6.0,2.0,4.0,,,,1.0,,1.0,2.0,,,,,,,,,Zagueiro,0,0.0,Não Jogou,False
116,0.0,285,2,2.38,False,83251,5.79,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,A. Benítez,6,alan-benitez,22,INT,0.0,Alan Max Benítez Domínguez,5,Alan Benítez,,3.0,4.0,,,,,,3.0,,,1.0,,,,,,,,,Lateral,0,0.0,Não Jogou,False
117,3.1,283,5,3.36,True,83257,6.94,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Gabriel,6,gabriel,22,CRU,0.3,Gabriel Barbosa Almeida,17,Gabriel,1.0,3.0,3.0,6.0,5.0,4.0,5.0,2.0,8.0,,,,,,,,,,1.0,,Atacante,159,52.11,Regular,False
118,7.2,262,3,5.51,True,83528,9.94,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,L. Pereira,7,leo-pereira,22,FLA,0.17,Leonardo Pereira,20,Léo Pereira,2.0,15.0,15.0,7.0,8.0,3.0,,,3.0,,1.0,11.0,,,,,,1.0,,,Zagueiro,64,81.02,Bom,False
119,0.0,287,3,-0.85,False,83786,2.13,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Neris,6,neris,22,VIT,0.0,Hueglo dos Santos Neris,4,Neris,1.0,1.0,8.0,,1.0,,2.0,,1.0,,,,,1.0,,,,,,,Zagueiro,0,0.0,Não Jogou,False
120,0.4,277,5,2.85,True,84042,7.4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,T. Soares,6,tiquinho-soares,22,SAN,-0.04,Francisco das Chagas Soares dos Santos Meireles,17,Tiquinho Soares,2.0,6.0,24.0,9.0,28.0,1.0,4.0,3.0,4.0,,,,,,,,,,,,Atacante,264,20.03,Regular,False
121,0.0,286,1,2.55,False,84094,2.41,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,R. Carneiro,6,ruan-carneiro,22,JUV,0.0,Eudes Ruan de Souza Carneiro,2,Ruan Carneiro,,,,,,,,,,,,,,,7.0,,4.0,,,,Goleiro,0,0.0,Não Jogou,False
122,0.0,284,3,3.2,False,84263,4.77,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Jemerson,6,jemerson,22,GRE,0.0,Jemerson de Jesus Nascimento,9,Jemerson,3.0,11.0,14.0,1.0,3.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,Zagueiro,0,0.0,Não Jogou,False
123,1.7,354,4,1.39,True,84428,4.1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,F. Sobral,6,fernando-sobral,22,CEA,0.33,Fernando Pereira do Nascimento,17,Fernando Sobral,6.0,18.0,22.0,4.0,12.0,,1.0,,,,,,,,,,,,,,Meia,203,38.55,Regular,False
124,0.4,292,5,2.24,True,84523,3.57,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Romarinho,6,romarinho,22,SPT,-0.01,José Romário Silva de Souza,10,Romarinho,,,,2.0,5.0,2.0,1.0,,2.0,,,,,,,,,,,,Atacante,264,20.03,Regular,False
